condition,stimuli,stimulus.ACC,stimulus.RT
neu,images/neuL.bmp,1,701
inc,images/incR.bmp,1,1773
con,images/conR.bmp,1,1117
inc,images/incL.bmp,1,982
inc,images/incL.bmp,1,1086
null,images/fix.bmp,,
neu,images/neuL.bmp,1,974
con,images/conL.bmp,1,798
con,images/conR.bmp,1,861
neu,images/neuR.bmp,1,565
con,images/conL.bmp,1,653
inc,images/incR.bmp,1,957
neu,images/neuL.bmp,1,733
null,images/fix.bmp,,
con,images/conL.bmp,1,661
neu,images/neuR.bmp,1,813
null,images/fix.bmp,,
neu,images/neuR.bmp,1,910
inc,images/incR.bmp,1,1542
neu,images/neuR.bmp,1,702
con,images/conL.bmp,1,630
con,images/conL.bmp,1,750
inc,images/incR.bmp,1,869
con,images/conR.bmp,1,549
null,images/fix.bmp,,
neu,images/neuR.bmp,1,821
null,images/fix.bmp,,
neu,images/neuR.bmp,1,597
null,images/fix.bmp,,
inc,images/incL.bmp,1,750
neu,images/neuR.bmp,1,814
inc,images/incR.bmp,1,1062
con,images/conL.bmp,1,750
neu,images/neuR.bmp,1,798
inc,images/incL.bmp,1,933
null,images/fix.bmp,,
inc,images/incL.bmp,1,1125
inc,images/incR.bmp,1,1149
inc,images/incL.bmp,1,741
null,images/fix.bmp,,
inc,images/incL.bmp,1,1534
inc,images/incL.bmp,1,710
con,images/conR.bmp,1,702
null,images/fix.bmp,,
neu,images/neuR.bmp,1,853
null,images/fix.bmp,,
con,images/conL.bmp,1,965
null,images/fix.bmp,,
inc,images/incL.bmp,1,1117
null,images/fix.bmp,,
neu,images/neuL.bmp,1,878
neu,images/neuL.bmp,1,638
neu,images/neuL.bmp,1,686
neu,images/neuL.bmp,1,734
neu,images/neuR.bmp,1,565
inc,images/incR.bmp,1,1157
inc,images/incR.bmp,1,709
inc,images/incL.bmp,1,869
inc,images/incL.bmp,1,781
neu,images/neuR.bmp,1,829
con,images/conR.bmp,1,661
neu,images/neuR.bmp,1,653
con,images/conR.bmp,1,678
null,images/fix.bmp,,
inc,images/incR.bmp,1,846
con,images/conR.bmp,0,0
null,images/fix.bmp,,
neu,images/neuL.bmp,1,733
neu,images/neuR.bmp,1,821
null,images/fix.bmp,,
con,images/conL.bmp,1,1309
con,images/conL.bmp,1,797
inc,images/incL.bmp,1,1101
null,images/fix.bmp,,
inc,images/incR.bmp,1,830
con,images/conR.bmp,1,654
null,images/fix.bmp,,
inc,images/incR.bmp,1,862
null,images/fix.bmp,,
con,images/conR.bmp,1,685
con,images/conR.bmp,1,701
con,images/conL.bmp,1,1293
neu,images/neuL.bmp,1,709
null,images/fix.bmp,,
inc,images/incR.bmp,1,901
neu,images/neuL.bmp,1,1085
neu,images/neuR.bmp,1,805
inc,images/incR.bmp,1,789
neu,images/neuL.bmp,1,821
inc,images/incR.bmp,1,669
null,images/fix.bmp,,
con,images/conL.bmp,1,844
con,images/conR.bmp,1,684
null,images/fix.bmp,,
neu,images/neuL.bmp,1,829
inc,images/incR.bmp,1,813
neu,images/neuR.bmp,1,653
null,images/fix.bmp,,
inc,images/incR.bmp,1,773
null,images/fix.bmp,,
neu,images/neuR.bmp,1,653
null,images/fix.bmp,,
con,images/conL.bmp,1,908
inc,images/incL.bmp,1,852
neu,images/neuL.bmp,1,604
con,images/conR.bmp,1,637
null,images/fix.bmp,,
inc,images/incR.bmp,1,781
con,images/conL.bmp,1,813
null,images/fix.bmp,,
con,images/conR.bmp,1,821
null,images/fix.bmp,,
neu,images/neuR.bmp,1,797
null,images/fix.bmp,,
inc,images/incL.bmp,1,1044
null,images/fix.bmp,,
con,images/conR.bmp,1,781
null,images/fix.bmp,,
inc,images/incL.bmp,1,1093
con,images/conL.bmp,1,637
neu,images/neuL.bmp,1,669
inc,images/incR.bmp,1,669
neu,images/neuL.bmp,1,717
inc,images/incL.bmp,1,941
null,images/fix.bmp,,
con,images/conR.bmp,1,637
con,images/conR.bmp,1,565
con,images/conL.bmp,1,780
neu,images/neuR.bmp,1,780
con,images/conL.bmp,1,644
null,images/fix.bmp,,
inc,images/incL.bmp,0,0
con,images/conR.bmp,1,773
inc,images/incR.bmp,1,733
con,images/conL.bmp,1,765
null,images/fix.bmp,,
inc,images/incL.bmp,0,1053
neu,images/neuR.bmp,1,1229
null,images/fix.bmp,,
neu,images/neuL.bmp,1,820
null,images/fix.bmp,,
inc,images/incL.bmp,1,1277
neu,images/neuR.bmp,1,597
con,images/conR.bmp,1,781
null,images/fix.bmp,,
con,images/conL.bmp,1,853
neu,images/neuL.bmp,1,661
inc,images/incR.bmp,1,917
null,images/fix.bmp,,
con,images/conR.bmp,1,1044
null,images/fix.bmp,,
con,images/conL.bmp,1,964
con,images/conR.bmp,1,708
null,images/fix.bmp,,
con,images/conL.bmp,1,725
neu,images/neuL.bmp,1,613
neu,images/neuL.bmp,1,621
inc,images/incL.bmp,1,1093
null,images/fix.bmp,,
neu,images/neuL.bmp,1,653
null,images/fix.bmp,,
,,,
,,,
