condition,stimuli,stimulus.ACC,stimulus.RT
neu,images/neuL.bmp,1,749
inc,images/incR.bmp,0,1517
con,images/conR.bmp,1,653
inc,images/incL.bmp,1,973
inc,images/incL.bmp,1,685
null,images/fix.bmp,,
neu,images/neuL.bmp,1,589
con,images/conL.bmp,1,541
con,images/conR.bmp,1,637
neu,images/neuR.bmp,1,565
con,images/conL.bmp,1,661
inc,images/incR.bmp,1,637
neu,images/neuL.bmp,1,445
null,images/fix.bmp,,
con,images/conL.bmp,1,477
neu,images/neuR.bmp,1,453
null,images/fix.bmp,,
neu,images/neuR.bmp,1,557
inc,images/incR.bmp,1,941
neu,images/neuR.bmp,1,645
con,images/conL.bmp,1,589
con,images/conL.bmp,1,614
inc,images/incR.bmp,1,630
con,images/conR.bmp,1,510
null,images/fix.bmp,,
neu,images/neuR.bmp,1,454
null,images/fix.bmp,,
neu,images/neuR.bmp,1,494
null,images/fix.bmp,,
inc,images/incL.bmp,1,661
neu,images/neuR.bmp,1,614
inc,images/incR.bmp,1,766
con,images/conL.bmp,1,598
neu,images/neuR.bmp,1,542
inc,images/incL.bmp,1,646
null,images/fix.bmp,,
inc,images/incL.bmp,1,689
inc,images/incR.bmp,1,681
inc,images/incL.bmp,1,697
null,images/fix.bmp,,
inc,images/incL.bmp,1,761
inc,images/incL.bmp,1,625
con,images/conR.bmp,1,625
null,images/fix.bmp,,
neu,images/neuR.bmp,1,602
null,images/fix.bmp,,
con,images/conL.bmp,1,634
null,images/fix.bmp,,
inc,images/incL.bmp,1,961
null,images/fix.bmp,,
neu,images/neuL.bmp,1,505
neu,images/neuL.bmp,1,593
neu,images/neuL.bmp,1,538
neu,images/neuL.bmp,1,474
neu,images/neuR.bmp,1,490
inc,images/incR.bmp,1,1162
inc,images/incR.bmp,1,1002
inc,images/incL.bmp,1,674
inc,images/incL.bmp,1,610
neu,images/neuR.bmp,1,522
con,images/conR.bmp,1,546
neu,images/neuR.bmp,1,466
con,images/conR.bmp,1,562
null,images/fix.bmp,,
inc,images/incR.bmp,1,819
con,images/conR.bmp,1,523
null,images/fix.bmp,,
neu,images/neuL.bmp,1,458
neu,images/neuR.bmp,1,579
null,images/fix.bmp,,
con,images/conL.bmp,1,642
con,images/conL.bmp,1,506
inc,images/incL.bmp,1,650
null,images/fix.bmp,,
inc,images/incR.bmp,1,859
con,images/conR.bmp,1,579
null,images/fix.bmp,,
inc,images/incR.bmp,1,667
null,images/fix.bmp,,
con,images/conR.bmp,1,507
con,images/conR.bmp,1,451
con,images/conL.bmp,1,587
neu,images/neuL.bmp,1,564
null,images/fix.bmp,,
inc,images/incR.bmp,1,644
neu,images/neuL.bmp,1,604
neu,images/neuR.bmp,1,532
inc,images/incR.bmp,1,627
neu,images/neuL.bmp,1,491
inc,images/incR.bmp,1,651
null,images/fix.bmp,,
con,images/conL.bmp,1,547
con,images/conR.bmp,1,523
null,images/fix.bmp,,
neu,images/neuL.bmp,1,555
inc,images/incR.bmp,1,652
neu,images/neuR.bmp,1,540
null,images/fix.bmp,,
inc,images/incR.bmp,1,676
null,images/fix.bmp,,
neu,images/neuR.bmp,1,436
null,images/fix.bmp,,
con,images/conL.bmp,1,684
inc,images/incL.bmp,0,788
neu,images/neuL.bmp,1,556
con,images/conR.bmp,1,557
null,images/fix.bmp,,
inc,images/incR.bmp,1,1797
con,images/conL.bmp,1,628
null,images/fix.bmp,,
con,images/conR.bmp,1,572
null,images/fix.bmp,,
neu,images/neuR.bmp,1,620
null,images/fix.bmp,,
inc,images/incL.bmp,1,772
null,images/fix.bmp,,
con,images/conR.bmp,1,581
null,images/fix.bmp,,
inc,images/incL.bmp,1,709
con,images/conL.bmp,1,669
neu,images/neuL.bmp,1,509
inc,images/incR.bmp,1,813
neu,images/neuL.bmp,1,573
inc,images/incL.bmp,1,693
null,images/fix.bmp,,
con,images/conR.bmp,1,437
con,images/conR.bmp,1,494
con,images/conL.bmp,1,478
neu,images/neuR.bmp,1,461
con,images/conL.bmp,1,677
null,images/fix.bmp,,
inc,images/incL.bmp,1,741
con,images/conR.bmp,1,485
inc,images/incR.bmp,0,709
con,images/conL.bmp,1,573
null,images/fix.bmp,,
inc,images/incL.bmp,1,758
neu,images/neuR.bmp,1,422
null,images/fix.bmp,,
neu,images/neuL.bmp,1,526
null,images/fix.bmp,,
inc,images/incL.bmp,1,750
neu,images/neuR.bmp,1,598
con,images/conR.bmp,1,526
null,images/fix.bmp,,
con,images/conL.bmp,1,494
neu,images/neuL.bmp,1,509
inc,images/incR.bmp,1,823
null,images/fix.bmp,,
con,images/conR.bmp,1,454
null,images/fix.bmp,,
con,images/conL.bmp,1,486
con,images/conR.bmp,1,534
null,images/fix.bmp,,
con,images/conL.bmp,1,542
neu,images/neuL.bmp,1,542
neu,images/neuL.bmp,1,582
inc,images/incL.bmp,1,847
null,images/fix.bmp,,
neu,images/neuL.bmp,1,511
null,images/fix.bmp,,
,,,
,,,
