condition,stimuli,stimulus.ACC,stimulus.RT
neu,images/neuL.bmp,1,952
inc,images/incR.bmp,1,504
con,images/conR.bmp,1,689
inc,images/incL.bmp,1,553
inc,images/incL.bmp,0,481
null,images/fix.bmp,,
neu,images/neuL.bmp,1,600
con,images/conL.bmp,1,624
con,images/conR.bmp,1,576
neu,images/neuR.bmp,1,680
con,images/conL.bmp,1,544
inc,images/incR.bmp,1,529
neu,images/neuL.bmp,1,505
null,images/fix.bmp,,
con,images/conL.bmp,1,737
neu,images/neuR.bmp,1,505
null,images/fix.bmp,,
neu,images/neuR.bmp,1,648
inc,images/incR.bmp,1,608
neu,images/neuR.bmp,1,496
con,images/conL.bmp,1,632
con,images/conL.bmp,1,760
inc,images/incR.bmp,1,577
con,images/conR.bmp,1,649
null,images/fix.bmp,,
neu,images/neuR.bmp,1,609
null,images/fix.bmp,,
neu,images/neuR.bmp,1,720
null,images/fix.bmp,,
inc,images/incL.bmp,1,696
neu,images/neuR.bmp,1,569
inc,images/incR.bmp,1,689
con,images/conL.bmp,1,601
neu,images/neuR.bmp,1,545
inc,images/incL.bmp,1,593
null,images/fix.bmp,,
inc,images/incL.bmp,1,753
inc,images/incR.bmp,1,632
inc,images/incL.bmp,1,608
null,images/fix.bmp,,
inc,images/incL.bmp,1,800
inc,images/incL.bmp,1,672
con,images/conR.bmp,1,656
null,images/fix.bmp,,
neu,images/neuR.bmp,1,720
null,images/fix.bmp,,
con,images/conL.bmp,1,704
null,images/fix.bmp,,
inc,images/incL.bmp,1,752
null,images/fix.bmp,,
neu,images/neuL.bmp,1,680
neu,images/neuL.bmp,1,727
neu,images/neuL.bmp,1,647
neu,images/neuL.bmp,1,608
neu,images/neuR.bmp,1,728
inc,images/incR.bmp,1,800
inc,images/incR.bmp,1,608
inc,images/incL.bmp,1,624
inc,images/incL.bmp,1,656
neu,images/neuR.bmp,1,624
con,images/conR.bmp,1,664
neu,images/neuR.bmp,1,568
con,images/conR.bmp,1,527
null,images/fix.bmp,,
inc,images/incR.bmp,1,624
con,images/conR.bmp,1,672
null,images/fix.bmp,,
neu,images/neuL.bmp,1,664
neu,images/neuR.bmp,1,584
null,images/fix.bmp,,
con,images/conL.bmp,1,632
con,images/conL.bmp,0,511
inc,images/incL.bmp,1,800
null,images/fix.bmp,,
inc,images/incR.bmp,1,712
con,images/conR.bmp,1,712
null,images/fix.bmp,,
inc,images/incR.bmp,1,736
null,images/fix.bmp,,
con,images/conR.bmp,1,655
con,images/conR.bmp,1,664
con,images/conL.bmp,1,672
neu,images/neuL.bmp,1,664
null,images/fix.bmp,,
inc,images/incR.bmp,1,680
neu,images/neuL.bmp,1,888
neu,images/neuR.bmp,1,752
inc,images/incR.bmp,1,952
neu,images/neuL.bmp,0,0
inc,images/incR.bmp,1,656
null,images/fix.bmp,,
con,images/conL.bmp,1,832
con,images/conR.bmp,1,680
null,images/fix.bmp,,
neu,images/neuL.bmp,1,720
inc,images/incR.bmp,1,688
neu,images/neuR.bmp,1,784
null,images/fix.bmp,,
inc,images/incR.bmp,1,744
null,images/fix.bmp,,
neu,images/neuR.bmp,1,688
null,images/fix.bmp,,
con,images/conL.bmp,1,784
inc,images/incL.bmp,1,1408
neu,images/neuL.bmp,1,784
con,images/conR.bmp,1,632
null,images/fix.bmp,,
inc,images/incR.bmp,1,712
con,images/conL.bmp,1,664
null,images/fix.bmp,,
con,images/conR.bmp,1,672
null,images/fix.bmp,,
neu,images/neuR.bmp,1,1088
null,images/fix.bmp,,
inc,images/incL.bmp,0,0
null,images/fix.bmp,,
con,images/conR.bmp,1,648
null,images/fix.bmp,,
inc,images/incL.bmp,1,983
con,images/conL.bmp,1,1032
neu,images/neuL.bmp,1,768
inc,images/incR.bmp,1,840
neu,images/neuL.bmp,1,1128
inc,images/incL.bmp,1,712
null,images/fix.bmp,,
con,images/conR.bmp,1,664
con,images/conR.bmp,1,632
con,images/conL.bmp,1,808
neu,images/neuR.bmp,1,671
con,images/conL.bmp,1,791
null,images/fix.bmp,,
inc,images/incL.bmp,1,816
con,images/conR.bmp,1,608
inc,images/incR.bmp,1,688
con,images/conL.bmp,1,624
null,images/fix.bmp,,
inc,images/incL.bmp,1,656
neu,images/neuR.bmp,1,839
null,images/fix.bmp,,
neu,images/neuL.bmp,1,728
null,images/fix.bmp,,
inc,images/incL.bmp,1,816
neu,images/neuR.bmp,1,872
con,images/conR.bmp,1,1056
null,images/fix.bmp,,
con,images/conL.bmp,1,632
neu,images/neuL.bmp,1,815
inc,images/incR.bmp,1,719
null,images/fix.bmp,,
con,images/conR.bmp,1,664
null,images/fix.bmp,,
con,images/conL.bmp,1,704
con,images/conR.bmp,1,624
null,images/fix.bmp,,
con,images/conL.bmp,1,560
neu,images/neuL.bmp,0,1496
neu,images/neuL.bmp,1,599
inc,images/incL.bmp,1,720
null,images/fix.bmp,,
neu,images/neuL.bmp,1,680
null,images/fix.bmp,,
,,,
,,,
