trial_type	correct	response_time
neu	1	0.588
inc	1	0.636
con	1	0.476
inc	1	0.564
inc	1	0.716
neu	1	0.539
con	1	0.787
con	1	0.516
neu	1	0.548
con	1	0.532
inc	1	0.596
neu	1	0.492
con	1	0.595
neu	1	0.595
neu	1	0.723
inc	1	0.643
neu	1	0.612
con	1	0.548
con	1	0.572
inc	1	0.604
con	1	0.516
neu	1	0.555
neu	1	0.523
inc	0	0.444
neu	1	0.628
inc	1	1.004
con	1	0.604
neu	1	0.772
inc	1	0.651
inc	1	0.691
inc	1	0.747
inc	1	0.755
inc	1	0.7
inc	1	0.78
con	1	0.58
neu	1	0.723
con	1	0.548
inc	1	0.628
neu	1	1.035
neu	1	0.531
neu	1	0.523
neu	1	0.516
neu	1	0.596
inc	1	0.82
inc	1	0.628
inc	1	0.564
inc	1	0.612
neu	1	1.099
con	1	0.491
neu	1	0.515
con	1	0.467
inc	1	0.66
con	1	0.964
neu	0	0.0
neu	1	0.572
con	1	0.579
con	1	0.563
inc	1	0.611
inc	1	0.644
con	1	0.748
inc	1	0.659
con	1	0.803
con	1	0.683
con	1	0.644
neu	1	0.564
inc	1	1.292
neu	1	0.572
neu	1	0.54
inc	1	0.875
neu	0	1.131
inc	1	0.787
con	0	0.0
con	0	0.0
neu	1	0.5
inc	1	0.62
neu	1	0.564
inc	1	0.659
neu	1	0.643
con	1	0.58
inc	1	0.604
neu	1	0.468
con	1	0.564
inc	1	0.619
con	1	0.555
con	1	1.516
neu	1	0.596
inc	1	0.604
con	0	0.0
inc	1	0.603
con	1	0.515
neu	1	0.516
inc	1	0.628
neu	1	0.564
inc	1	0.684
con	1	0.707
con	1	0.715
con	1	0.459
neu	1	0.635
con	1	0.539
inc	1	0.596
con	0	1.14
inc	1	0.612
con	1	0.524
inc	1	0.611
neu	1	0.547
neu	0	0.0
inc	1	0.572
neu	1	0.54
con	1	0.916
con	1	0.563
neu	1	0.555
inc	1	0.667
con	1	0.724
con	1	1.148
con	0	0.0
con	1	0.579
neu	1	0.579
neu	1	0.491
inc	1	0.571
neu	1	1.555
