trial_type	correct	response_time
neu	1	0.747
inc	1	0.763
con	1	0.556
inc	0	0.476
inc	1	0.539
neu	1	0.579
con	1	0.491
con	1	0.499
neu	1	0.587
con	1	0.387
inc	0	0.419
neu	1	0.556
con	1	0.507
neu	1	0.523
neu	1	0.531
inc	1	1.091
neu	1	0.571
con	1	0.603
con	1	0.563
inc	1	0.628
con	1	0.54
neu	1	0.555
neu	1	0.427
inc	1	0.643
neu	1	0.723
inc	1	0.644
con	1	0.507
neu	1	0.523
inc	1	0.626
inc	1	0.627
inc	1	0.987
inc	1	0.883
inc	1	0.748
inc	1	0.7
con	1	0.716
neu	1	0.618
con	1	0.739
inc	1	0.66
neu	1	0.642
neu	1	0.499
neu	1	0.499
neu	1	0.499
neu	1	0.683
inc	1	1.027
inc	1	0.964
inc	1	0.628
inc	1	0.547
neu	1	0.427
con	1	0.611
neu	1	0.611
con	1	0.515
inc	1	0.691
con	1	0.443
neu	1	0.563
neu	1	0.611
con	1	0.627
con	1	0.603
inc	1	0.643
inc	1	0.739
con	1	0.58
inc	1	0.675
con	1	0.635
con	1	0.515
con	1	0.587
neu	1	0.587
inc	1	0.651
neu	1	0.563
neu	1	0.57
inc	1	0.618
neu	1	0.498
inc	1	0.626
con	1	0.634
con	1	0.507
neu	1	0.587
inc	1	0.667
neu	1	0.579
inc	1	0.618
neu	1	0.498
con	1	0.667
inc	1	0.659
neu	1	0.499
con	1	0.595
inc	1	0.682
con	1	0.666
con	1	0.579
neu	1	0.579
inc	1	1.026
con	1	0.762
inc	1	0.642
con	1	0.579
neu	1	0.579
inc	1	0.899
neu	1	0.611
inc	1	0.627
con	1	0.546
con	1	0.578
con	1	0.498
neu	1	0.53
con	1	0.418
inc	1	0.723
con	1	0.611
inc	1	0.994
con	1	0.49
inc	1	0.642
neu	1	0.57
neu	1	0.603
inc	1	0.691
neu	1	0.795
con	1	0.571
con	1	0.634
neu	1	0.53
inc	1	0.666
con	1	0.747
con	1	0.515
con	1	0.642
con	1	0.586
neu	1	0.674
neu	1	0.49
inc	1	0.594
neu	1	0.555
