trial_type	correct	response_time
neu	1	1.362
inc	0	0.0
con	1	0.634
inc	1	0.754
inc	1	0.666
neu	1	0.691
con	1	0.595
con	1	0.827
neu	1	0.403
con	1	0.603
inc	1	1.011
neu	1	0.659
con	1	0.731
neu	1	0.811
neu	1	0.939
inc	1	0.571
neu	1	0.571
con	1	0.539
con	1	0.579
inc	1	0.595
con	1	0.523
neu	1	0.707
neu	1	0.579
inc	1	0.555
neu	1	0.603
inc	1	0.491
con	1	0.42
neu	0	0.396
inc	1	0.564
inc	1	0.58
inc	1	0.484
inc	1	0.508
inc	1	0.612
inc	0	0.0
con	1	0.611
neu	1	0.668
con	1	0.628
inc	1	0.788
neu	1	0.516
neu	0	0.0
neu	1	0.493
neu	1	0.421
neu	1	0.453
inc	1	0.557
inc	1	0.453
inc	1	0.645
inc	1	0.549
neu	1	0.357
con	1	0.733
neu	1	0.501
con	1	0.461
inc	0	0.613
con	1	0.493
neu	1	0.606
neu	1	0.813
con	1	0.565
con	1	0.509
inc	1	0.541
inc	1	1.349
con	1	0.549
inc	1	0.694
con	1	0.758
con	1	0.526
con	1	0.63
neu	1	0.558
inc	1	0.694
neu	1	0.558
neu	1	0.486
inc	1	0.51
neu	1	0.622
inc	1	0.623
con	1	0.566
con	1	0.655
neu	1	0.534
inc	1	0.59
neu	1	0.526
inc	1	0.529
neu	1	0.406
con	1	0.591
inc	0	0.0
neu	1	0.591
con	1	0.679
inc	1	1.519
con	1	0.575
con	1	0.727
neu	1	0.656
inc	1	0.743
con	1	0.759
inc	1	0.719
con	1	0.615
neu	1	0.527
inc	1	0.567
neu	1	0.575
inc	0	0.506
con	1	0.584
con	1	0.578
con	1	0.528
neu	1	0.488
con	1	0.472
inc	1	0.608
con	0	0.528
inc	1	1.056
con	1	0.464
inc	1	0.803
neu	1	0.577
neu	1	0.579
inc	1	1.313
neu	0	1.507
con	1	0.483
con	1	0.56
neu	1	0.579
inc	1	0.851
con	1	0.979
con	1	0.588
con	1	1.42
con	1	0.548
neu	1	0.588
neu	1	0.5
inc	1	0.516
neu	1	0.588
